t,bytes_sent,utility,pheromone,f1_val,agg_count,rollback
0,4160,0.0,0.0,0.6219755934593896,0,0
1,8320,0.0,0.0,0.561561302045455,0,0
2,12480,0.0,0.0,0.6839022127486813,0,0
3,16640,0.0,0.0,0.6682531150130071,0,0
4,20800,0.0,0.0,0.5295864204023134,0,0
5,24960,0.0,0.0,0.6322532183321248,0,0
6,29120,0.0,0.0,0.7341210800388622,0,0
7,33280,0.0,0.0,0.712438787165576,0,0
8,37440,0.0,0.0,0.8454201224708813,0,0
9,41600,0.0,0.0,0.8755719581876331,0,0
10,45760,0.0,0.0,0.811466656684352,0,0
11,49920,0.0,0.0,0.8484284762349219,0,0
12,54080,0.0,0.0,0.7950412946351215,0,0
13,58240,0.0,0.0,0.8735595677224077,0,0
14,62400,0.0,0.0,0.7020687908943861,0,0
15,66560,0.0,0.0,0.8408145510575668,0,0
16,70720,0.0,0.0,0.905259110758912,0,0
17,74880,0.0,0.0,0.7235789964816195,0,0
18,79040,0.0,0.0,0.8182753674089214,0,0
19,83200,0.0,0.0,0.7832598708789261,0,0
20,87360,0.0,0.0,0.8281767197417729,0,0
21,91520,0.0,0.0,0.8217113245427246,0,0
22,95680,0.0,0.0,0.834066333242356,0,0
23,99840,0.0,0.0,0.8813321151278877,0,0
24,104000,0.0,0.0,0.8802078838348448,0,0
25,108160,0.0,0.0,0.7991690845668687,0,0
26,112320,0.0,0.0,0.8085606378127896,0,0
27,116480,0.0,0.0,0.7855820893327364,0,0
28,120640,0.0,0.0,0.8580836507845365,0,0
29,124800,0.0,0.0,0.6172062320389947,0,0
30,128960,0.0,0.0,0.8284961340720691,0,0
31,133120,0.0,0.0,0.6459507918023566,0,0
32,137280,0.0,0.0,0.8463266681059131,0,0
33,141440,0.0,0.0,0.8536797836829175,0,0
34,145600,0.0,0.0,0.8790341795437763,0,0
35,149760,0.0,0.0,0.8746195985624634,0,0
36,153920,0.0,0.0,0.8716098389607807,0,0
37,158080,0.0,0.0,0.8787574835952081,0,0
38,162240,0.0,0.0,0.8731476224825677,0,0
39,166400,0.0,0.0,0.8383215947089128,0,0
40,170560,0.0,0.0,0.8754148861200693,0,0
41,174720,0.0,0.0,0.8457224157237322,0,0
42,178880,0.0,0.0,0.7746961649619606,0,0
43,183040,0.0,0.0,0.7735220140840464,0,0
44,187200,0.0,0.0,0.861833520793886,0,0
45,191360,0.0,0.0,0.8775989388274716,0,0
46,195520,0.0,0.0,0.8750494002829969,0,0
47,199680,0.0,0.0,0.8761635603708612,0,0
48,203840,0.0,0.0,0.878003466849478,0,0
49,208000,0.0,0.0,0.8761635603708612,0,0
