t,bytes_sent,utility,pheromone,f1_val
0,1620,4.799215352950002,0.9678430705900004,0.8523489932885906
1,1620,0.0,0.7742744564720003,0.8466666666666667
2,1620,0.03326959731690504,0.6260734846409813,0.8709677419354839
3,1620,0.14182145073613317,0.5292230778600118,0.9230769230769231
4,1620,0.0,0.42337846228800946,0.8523489932885906
5,1620,0.0,0.3387027698304076,0.8466666666666667
6,1620,0.03326959731690504,0.27761613532770707,0.8709677419354839
7,1620,0.14182145073613317,0.2504571984093923,0.9230769230769231
8,1620,0.0,0.20036575872751383,0.8523489932885906
9,1620,0.0,0.1602926069820111,0.8466666666666667
10,1620,0.03326959731690504,0.13488800504898987,0.8709677419354839
11,1620,0.14182145073613317,0.13627469418641852,0.9230769230769231
12,1620,0.0,0.10901975534913483,0.8523489932885906
13,1620,0.0,0.08721580427930786,0.8466666666666667
14,1620,0.03326959731690504,0.0764265628868273,0.8709677419354839
15,1620,0.14182145073613317,0.08950554045668847,0.9230769230769231
16,1620,0.0,0.07160443236535079,0.8523489932885906
17,1620,0.0,0.05728354589228063,0.8466666666666667
18,1620,0.03326959731690504,0.05248075617720552,0.8709677419354839
19,1620,0.14182145073613317,0.07034889508899106,0.9230769230769231
20,1620,0.0,0.05627911607119285,0.8523489932885906
21,1620,0.0,0.04502329285695428,0.8466666666666667
22,1620,0.03326959731690504,0.04267255374894443,0.8709677419354839
23,1620,0.14182145073613317,0.06250233314638218,0.9230769230769231
24,1620,0.0,0.050001866517105746,0.8523489932885906
25,1620,0.0,0.0400014932136846,0.8466666666666667
26,1620,0.03326959731690504,0.03865511403432869,0.8709677419354839
27,1620,0.14182145073613317,0.059288381374689586,0.9230769230769231
28,1620,0.0,0.04743070509975167,0.8523489932885906
29,1620,0.0,0.03794456407980134,0.8466666666666667
30,1620,0.03326959731690504,0.03700957072722208,0.8709677419354839
31,1620,0.14182145073613317,0.0579719467290043,0.9230769230769231
32,1620,0.0,0.04637755738320344,0.8523489932885906
33,1620,0.0,0.037102045906562756,0.8466666666666667
34,1620,0.03326959731690504,0.03633555618863121,0.8709677419354839
35,1620,0.14182145073613317,0.057432735098131606,0.9230769230769231
36,1620,0.0,0.045946188078505285,0.8523489932885906
37,1620,0.0,0.03675695046280423,0.8466666666666667
38,1620,0.03326959731690504,0.0360594798336244,0.8709677419354839
39,1620,0.14182145073613317,0.057211874014126154,0.9230769230769231
40,1620,0.0,0.045769499211300926,0.8523489932885906
41,1620,0.0,0.03661559936904074,0.8466666666666667
42,1620,0.03326959731690504,0.0359463989586136,0.8709677419354839
43,1620,0.14182145073613317,0.05712140931411752,0.9230769230769231
44,1620,0.0,0.04569712745129402,0.8523489932885906
