block,label,method,round,f1_mean,f1_std,f1_sem,ci_low,ci_high,n
heterogeneous,fast25,DeceFL,16,0.5611774237011681,0.01995880336185088,0.006311527799487458,0.5488068292141727,0.5735480181881635,10
heterogeneous,fast25,DeceFL,17,0.5925766032071134,0.03117432649914435,0.009858187625903929,0.5732545554603417,0.6118986509538851,10
heterogeneous,fast25,DeceFL,18,0.6242618644614967,0.01807904952326627,0.005717097442450271,0.6130563534742941,0.6354673754486992,10
heterogeneous,fast25,DeceFL,19,0.6435760884775629,0.030938525393411093,0.009783620769013601,0.6244001917702963,0.6627519851848295,10
heterogeneous,fast25,DeceFL,20,0.6594157817597892,0.02414587254799362,0.007635595334379317,0.6444500149044058,0.6743815486151726,10
heterogeneous,fast25,DeceFL,21,0.6723771335160986,0.028204251204328488,0.008918967350522508,0.6548959575090745,0.6898583095231228,10
heterogeneous,fast25,DeceFL,22,0.6897558979862133,0.022881482616670907,0.007235760131022952,0.6755738081294083,0.7039379878430183,10
heterogeneous,fast25,DeceFL,23,0.7032116987123933,0.02678823493015395,0.008471183687496808,0.6866081786848995,0.7198152187398871,10
heterogeneous,fast25,DeceFL,24,0.7186488249179693,0.02694410579557523,0.00852047438305609,0.7019486951271794,0.7353489547087593,10
heterogeneous,fast25,DeceFL,25,0.7201184009959636,0.03332565629307795,0.010538497840605017,0.6994629452283777,0.7407738567635495,10
heterogeneous,fast25,DeceFL,26,0.7482151345656429,0.02758127903995853,0.008721966254693122,0.7311200807064444,0.7653101884248414,10
heterogeneous,fast25,DeceFL,27,0.7612945717057122,0.014177523070506305,0.004483326448238389,0.752507251867165,0.7700818915442594,10
heterogeneous,fast25,DeceFL,28,0.7644827024305993,0.017893640233484442,0.005658465876943795,0.7533921093117895,0.7755732955494092,10
heterogeneous,fast25,DeceFL,29,0.7630279544630947,0.028146735392047862,0.008900779253694362,0.7455824271258538,0.7804734818003356,10
heterogeneous,fast25,DeceFL,30,0.7797649534851598,0.018704100526719863,0.005914755924918984,0.7681720318723186,0.791357875098001,10
heterogeneous,fast25,DeceFL,31,0.79167648854251,0.026287106782572605,0.008312713052899002,0.775383570958828,0.8079694061261921,10
heterogeneous,fast25,DeceFL,32,0.7978411281894232,0.015199736842731742,0.004806578825820884,0.7884202336908143,0.8072620226880322,10
heterogeneous,fast25,DeceFL,33,0.8096498012208413,0.014179611961901996,0.0044839870136979005,0.8008611866739934,0.8184384157676892,10
heterogeneous,fast25,DeceFL,34,0.8068976630790494,0.01948137430593223,0.006160551475702775,0.794822982186672,0.8189723439714268,10
heterogeneous,fast25,DeceFL,35,0.8042886568772012,0.015025258303043463,0.00475140386699738,0.7949759052978863,0.8136014084565161,10
heterogeneous,fast25,DeceFL,36,0.8107785645178776,0.022005288722780094,0.006958683293360266,0.7971395452628914,0.8244175837728637,10
heterogeneous,fast25,DeceFL,37,0.8159535535708494,0.028914022390545253,0.009143416707122957,0.7980324568248884,0.8338746503168104,10
heterogeneous,fast25,DeceFL,38,0.8238529486886559,0.027212990052980026,0.008605503051092304,0.806986162708515,0.8407197346687968,10
heterogeneous,fast25,DeceFL,39,0.8264218160714799,0.019506555334402084,0.0061685144160818035,0.8143315278159595,0.8385121043270003,10
heterogeneous,fast25,DeceFL,40,0.8250244153450144,0.01108597300001473,0.0035056924759176407,0.8181532580922158,0.8318955725978129,10
heterogeneous,fast25,DeceFL,41,0.8233039242701556,0.018202654186023254,0.005756184668823177,0.8120218023192622,0.834586046221049,10
heterogeneous,fast25,DeceFL,42,0.8284948737990095,0.030121701332460834,0.0095253183209905,0.8098252498898681,0.8471644977081509,10
heterogeneous,fast25,DeceFL,43,0.8225865088559818,0.019167516231881416,0.006061300838099339,0.8107063592133071,0.8344666584986565,10
heterogeneous,fast25,DeceFL,44,0.8277941525272207,0.019970539871067887,0.006315239209577988,0.8154162836764478,0.8401720213779935,10
heterogeneous,fast25,DeceFL,45,0.8295048682175807,0.02283075586021279,0.0072197189221509216,0.8153542191301649,0.8436555173049965,10
heterogeneous,fast25,DeceFL,46,0.834183130506329,0.021966992208080387,0.006946572872070547,0.8205678476770707,0.8477984133355873,10
heterogeneous,fast25,DeceFL,47,0.8240027181125379,0.01648440998777129,0.005212828144538565,0.8137855749492423,0.8342198612758335,10
heterogeneous,fast25,DeceFL,48,0.827123179835372,0.02940933543676182,0.009300048445207017,0.8088950848827662,0.8453512747879778,10
heterogeneous,fast25,DeceFL,49,0.8411756644312758,0.016805068201705905,0.005314229175186058,0.8307597752479111,0.8515915536146405,10
heterogeneous,fast25,FedAvg,0,0.1727633125630073,0.01374219674976707,0.004345664178342691,0.16424581077345562,0.181280814352559,10
heterogeneous,fast25,FedAvg,1,0.1702665517989249,0.03602674486223542,0.0113926570446433,0.147936943991424,0.19259615960642576,10
heterogeneous,fast25,FedAvg,2,0.16743873498660358,0.04790326045163697,0.0151483410375439,0.13774798655301754,0.19712948342018963,10
heterogeneous,fast25,FedAvg,3,0.15180110424972765,0.02193201893180884,0.006935513351044905,0.13820749808167965,0.16539471041777565,10
heterogeneous,fast25,FedAvg,4,0.14473512822144802,0.008601195886445262,0.0027199369602438008,0.13940405177937018,0.15006620466352585,10
heterogeneous,fast25,FedAvg,5,0.14066945188172172,0.0,0.0,0.14066945188172172,0.14066945188172172,10
heterogeneous,fast25,FedAvg,6,0.14066945188172172,0.0,0.0,0.14066945188172172,0.14066945188172172,10
heterogeneous,fast25,FedAvg,7,0.14066945188172172,0.0,0.0,0.14066945188172172,0.14066945188172172,10
heterogeneous,fast25,FedAvg,8,0.14810616943884955,0.01279856982050486,0.004047263142548774,0.14017353367945395,0.15603880519824515,10
heterogeneous,fast25,FedAvg,9,0.18989879605017618,0.023335771443115813,0.007379418871736035,0.17543513506157354,0.2043624570387788,10
heterogeneous,fast25,FedAvg,10,0.29021504788721253,0.02040835939673276,0.006453689900097542,0.27756581568302136,0.3028642800914037,10
heterogeneous,fast25,FedAvg,11,0.3614135273965759,0.022640255793434,0.007159477511607406,0.34738095147382536,0.37544610331932643,10
heterogeneous,fast25,FedAvg,12,0.40532629183949725,0.01719249900467597,0.005436745552495392,0.3946702705566063,0.4159823131223882,10
heterogeneous,fast25,FedAvg,13,0.44103893985876264,0.02630677055201712,0.008318931282781912,0.4247338345445101,0.4573440451730152,10
heterogeneous,fast25,FedAvg,14,0.4819853429915346,0.026156356418884082,0.008271366157483893,0.4657734653228662,0.49819722066020306,10
heterogeneous,fast25,FedAvg,15,0.5395185786567668,0.03896238296251553,0.012320987322928793,0.5153694435038263,0.5636677138097073,10
heterogeneous,fast25,FedAvg,16,0.579264208664748,0.03442145759633106,0.010885020638731088,0.5579295682128351,0.600598849116661,10
heterogeneous,fast25,FedAvg,17,0.608279301364711,0.03748278858443006,0.011853098498135753,0.5850472283083649,0.6315113744210571,10
heterogeneous,fast25,FedAvg,18,0.629522191577593,0.03080954121700064,0.009742832391055802,0.6104262400911237,0.6486181430640624,10
heterogeneous,fast25,FedAvg,19,0.6433877377615811,0.019438065504456484,0.006146856030163234,0.6313398999424612,0.655435575580701,10
heterogeneous,fast25,FedAvg,20,0.6622027524964265,0.025570337928464942,0.008086050839414088,0.6463540928511748,0.6780514121416781,10
heterogeneous,fast25,FedAvg,21,0.6735223440778093,0.030524671958026346,0.00965274882168349,0.6546029563873097,0.6924417317683089,10
heterogeneous,fast25,FedAvg,22,0.682866144728487,0.026455634274618542,0.00836600612522111,0.6664687727230536,0.6992635167339203,10
heterogeneous,fast25,FedAvg,23,0.6978790931316279,0.02749009838545417,0.008693132400015255,0.680840553627598,0.7149176326356578,10
heterogeneous,fast25,FedAvg,24,0.7144712788516883,0.02576165102036991,0.008146549351076969,0.6985040421235774,0.7304385155797991,10
heterogeneous,fast25,FedAvg,25,0.7247512772086058,0.026143722970141593,0.008267371110210966,0.7085472298325923,0.7409553245846192,10
heterogeneous,fast25,FedAvg,26,0.7340126020795186,0.021105158891067306,0.006674037247552618,0.7209314890743155,0.7470937150847217,10
heterogeneous,fast25,FedAvg,27,0.7428431412778175,0.02842496621086516,0.008988763563965992,0.7252251646924441,0.7604611178631908,10
heterogeneous,fast25,FedAvg,28,0.7513253065283042,0.023556960979229196,0.007449365144607471,0.7367245508448735,0.7659260622117349,10
heterogeneous,fast25,FedAvg,29,0.7592474275836253,0.016761144781423248,0.005300339370114255,0.7488587624182014,0.7696360927490492,10
heterogeneous,fast25,FedAvg,30,0.7674238851281098,0.01782257152399007,0.00563599197770669,0.7563773408518046,0.7784704294044149,10
heterogeneous,fast25,FedAvg,31,0.7867673129384992,0.023829609084165496,0.007535584045740201,0.7719975682088485,0.80153705766815,10
heterogeneous,fast25,FedAvg,32,0.7915792507357102,0.020640972997993643,0.006527248779569403,0.7787858431277542,0.8043726583436662,10
heterogeneous,fast25,FedAvg,33,0.78988147751859,0.018753919034746866,0.005930509920418655,0.7782576780745694,0.8015052769626105,10
heterogeneous,fast25,FedAvg,34,0.8110765482020437,0.019157459186022217,0.006058120520954556,0.7992026319809727,0.8229504644231146,10
heterogeneous,fast25,FedAvg,35,0.8191564560336797,0.015408425562312728,0.004872571993406893,0.8096062149266022,0.8287066971407572,10
heterogeneous,fast25,FedAvg,36,0.8179701656238155,0.02344917901895107,0.007415281496091804,0.8034362138914756,0.8325041173561555,10
heterogeneous,fast25,FedAvg,37,0.8112910912529611,0.03050879480879709,0.009647728026252005,0.7923815443215071,0.830200638184415,10
heterogeneous,fast25,FedAvg,38,0.822349561629062,0.021451926657958077,0.006783694843803134,0.8090535197352079,0.8356456035229162,10
heterogeneous,fast25,FedAvg,39,0.8216316537375116,0.023486808055790405,0.007427180842348872,0.8070743792865078,0.8361889281885153,10
heterogeneous,fast25,FedAvg,40,0.8255427218890505,0.02631842950551948,0.008322618167602058,0.8092303902805505,0.8418550534975505,10
heterogeneous,fast25,FedAvg,41,0.8185530903797871,0.026091818087197915,0.008250957345032322,0.8023812139835237,0.8347249667760505,10
heterogeneous,fast25,FedAvg,42,0.8383548120495121,0.01550781170901538,0.0049040006525516945,0.8287429707705108,0.8479666533285134,10
heterogeneous,fast25,FedAvg,43,0.83484793206911,0.01936978464595144,0.006125263726816471,0.8228424151645497,0.8468534489736703,10
heterogeneous,fast25,FedAvg,44,0.8267397958669569,0.02996855830512327,0.009476890243574485,0.8081650909895509,0.8453145007443629,10
heterogeneous,fast25,FedAvg,45,0.8369344625108658,0.01652679863166466,0.005226232610701449,0.8266910465938909,0.8471778784278406,10
heterogeneous,fast25,FedAvg,46,0.82989922774525,0.014263597782665163,0.004510545662174927,0.8210585582473872,0.8387398972431129,10
heterogeneous,fast25,FedAvg,47,0.840054077245026,0.024493842953663022,0.007745633238404124,0.824872636097754,0.855235518392298,10
heterogeneous,fast25,FedAvg,48,0.836033884319886,0.028028178588814907,0.008863288300661907,0.8186618392505887,0.8534059293891834,10
heterogeneous,fast25,FedAvg,49,0.8507330048642491,0.018411502173362862,0.005822228201296694,0.8393214375897076,0.8621445721387906,10
heterogeneous,fast50,ASILO,0,0.20142312763033146,0.0384321004718611,0.0121532972755513,0.1776026649702509,0.22524359029041202,10
heterogeneous,fast50,ASILO,1,0.16886374451714717,0.013468633957342983,0.004259156027629094,0.16051579870299415,0.1772116903313002,10
heterogeneous,fast50,ASILO,2,0.1560966144284393,0.021105573255671844,0.006674168281145827,0.14301524459739348,0.16917798425948513,10
heterogeneous,fast50,ASILO,3,0.2691277031490528,0.028259423393620486,0.008936414328688575,0.2516123310648232,0.2866430752332824,10
heterogeneous,fast50,ASILO,4,0.3219507486356347,0.013247908008314751,0.00418935635386595,0.3137396101820575,0.33016188708921196,10
heterogeneous,fast50,ASILO,5,0.3678664876384244,0.026423822856471362,0.0083559464715266,0.35148883255423224,0.38424414272261653,10
heterogeneous,fast50,ASILO,6,0.4419469672614393,0.030970449743206216,0.009793716134830852,0.4227512836371708,0.46114265088570777,10
heterogeneous,fast50,ASILO,7,0.5136627386262109,0.03055811491849225,0.009663324414360611,0.49472262277406415,0.5326028544783578,10
heterogeneous,fast50,ASILO,8,0.5675505704864936,0.023137269782446443,0.007316647135031928,0.553209942101831,0.5818911988711561,10
heterogeneous,fast50,ASILO,9,0.6132865097243259,0.03420579405624982,0.010816821839239914,0.5920855389194156,0.6344874805292361,10
heterogeneous,fast50,ASILO,10,0.6442549902900836,0.023064118831613516,0.0072935147732680235,0.6299597013344783,0.6585502792456889,10
