block,label,method,round,n,f1_mean,f1_std,f1_var,ci_low,ci_high,bytes_cum_mean
heterogeneous,fast25,ASILO,0,8,0.30666862952572627,0.027477530576626805,0.000755014686589461,0.28762767228875263,0.3257095867626999,0.0
heterogeneous,fast25,ASILO,1,8,0.3141852457048765,0.029739947124409496,0.0008844644549626726,0.29357651378675315,0.33479397762299984,8096.0
heterogeneous,fast25,ASILO,2,8,0.34193633156354564,0.02766064751632019,0.0007651114210221104,0.32276848076136083,0.36110418236573044,21362.875
heterogeneous,fast25,ASILO,3,8,0.3436238288572417,0.029719501496761457,0.0008832487692160065,0.3230292650362348,0.36421839267824857,38452.5
heterogeneous,fast25,ASILO,4,8,0.35085884634550624,0.03689524937517514,0.0013612594264563614,0.32529174293928625,0.3764259497517262,61831.25
heterogeneous,fast25,ASILO,5,8,0.35350855272213555,0.02635076013381269,0.0006943625596297322,0.33524840756569724,0.37176869787857386,89254.75
heterogeneous,fast25,ASILO,6,8,0.35896282337146346,0.022516109460700682,0.0005069751852462548,0.34335995555957544,0.3745656911833515,122071.75
heterogeneous,fast25,ASILO,7,8,0.3597112496618574,0.020354117958109,0.0004142901178526153,0.34560656552527264,0.3738159337984422,159382.5
heterogeneous,fast25,ASILO,8,8,0.3639722812440367,0.024838045037242795,0.0006169284812721015,0.3467603941683305,0.3811841683197429,202532.625
heterogeneous,fast25,ASILO,9,8,0.3630108109865568,0.02630383858086734,0.0006918919240883251,0.34478318080742454,0.38123844116568906,249726.625
heterogeneous,fast25,ASILO,10,8,0.37097455624318115,0.028175369024011132,0.000793851419639206,0.35145002163385575,0.39049909085250656,302085.0
heterogeneous,fast25,ASILO,11,8,0.3631557414558658,0.022783639660043858,0.0005190942361587234,0.3473674846742126,0.37894399823751906,358262.125
heterogeneous,fast25,ASILO,12,8,0.35779792571696334,0.03027307159768567,0.0009164588639586028,0.33681975738717534,0.37877609404675133,419154.625
heterogeneous,fast25,ASILO,13,8,0.3653348541512471,0.026410774586628476,0.0006975290142657006,0.34703312110078466,0.38363658720170957,484767.25
heterogeneous,fast25,ASILO,14,8,0.36794863116579934,0.0320004001993879,0.0010240256129209853,0.3457734851837622,0.39012377714783647,554870.625
heterogeneous,fast25,ASILO,15,8,0.3641875389424186,0.02178643015901691,0.0004746485390737216,0.3490903130891964,0.3792847647956408,629464.625
heterogeneous,fast25,ASILO,16,8,0.3626258413130465,0.01636863574011679,0.00026793223599262873,0.3512829554490496,0.3739687271770434,707204.125
heterogeneous,fast25,ASILO,17,8,0.3673151352092896,0.0155412053676179,0.00024152906427847543,0.3565456293400993,0.3780846410784799,790111.5
heterogeneous,fast25,ASILO,18,8,0.3652893970640064,0.01631026202577882,0.0002660246473495626,0.3539869621202759,0.37659183200773694,876613.5
heterogeneous,fast25,ASILO,19,8,0.3632953604976406,0.017130551603491428,0.00029345579823988275,0.35142449387743163,0.3751662271178496,967383.625
heterogeneous,fast25,ASILO,20,8,0.3624702518608003,0.011860866746825334,0.00014068015998594698,0.3542510905395187,0.3706894131820819,1061971.625
heterogeneous,fast25,ASILO,21,8,0.3663076266166029,0.01617011977757091,0.0002614727736209899,0.35510230529623016,0.3775129479369756,1160827.125
heterogeneous,fast25,ASILO,22,8,0.36633481720716765,0.016997759317278992,0.0002889238218081448,0.35455597094650737,0.37811366346782793,1263502.625
heterogeneous,fast25,ASILO,23,8,0.36459597559262347,0.018473199714377164,0.00034125910768726455,0.35179470130013896,0.377397249885108,1370448.0
heterogeneous,fast25,ASILO,24,8,0.3701142164152504,0.023968959895449223,0.0005745110384696532,0.3535045746167911,0.3867238582137097,1482110.625
heterogeneous,fast25,ASILO,25,8,0.3633029412810974,0.024905638738550114,0.0006202908409751681,0.3460442141601225,0.38056166840207234,1597142.625
heterogeneous,fast25,ASILO,26,8,0.36514034303962317,0.014642181489597639,0.00021439347877431574,0.3549938289334177,0.37528685714582866,1715550.0
heterogeneous,fast25,ASILO,27,8,0.36997390635753336,0.015786190699653427,0.00024920381680582435,0.359034634314561,0.3809131784005057,1838225.75
heterogeneous,fast25,ASILO,28,8,0.3686457668465418,0.013127169349060325,0.00017232257511890888,0.35954910259132716,0.3777424311017565,1963820.0
heterogeneous,fast25,ASILO,29,8,0.374289586217711,0.013819674778561717,0.00019098341098521487,0.3647130401829916,0.38386613225243044,2093458.5
heterogeneous,fast25,ASILO,30,8,0.36867721696437655,0.014116492328939648,0.0001992753556730119,0.3588949868610627,0.3784594470676904,2226018.625
heterogeneous,fast25,ASILO,31,8,0.3680140302710385,0.007219852705601902,5.2126273090587106e-05,0.36301092759988535,0.3730171329421917,2362848.125
heterogeneous,fast25,ASILO,32,8,0.3680683146920885,0.00875412945293366,7.663478247872058e-05,0.3620020124785253,0.3741346169056517,2503271.25
heterogeneous,fast25,ASILO,33,8,0.3661529785417176,0.010282033300711153,0.0001057202087969331,0.3590278929798252,0.37327806410361,2647516.125
heterogeneous,fast25,ASILO,34,8,0.37227684768472263,0.012369926435447669,0.00015301508001838707,0.36370492599674453,0.38084876937270074,2796933.75
heterogeneous,fast25,ASILO,35,8,0.3699366532117899,0.009011279732775539,8.120316242233119e-05,0.36369215494569973,0.3761811514778801,2950843.625
heterogeneous,fast25,ASILO,36,8,0.37051526905692533,0.009211371852282962,8.484937140103085e-05,0.36413211402616075,0.3768984240876899,3108125.625
heterogeneous,fast25,ASILO,37,8,0.3706142255435439,0.013782619847729384,0.00018996060986702396,0.36106335726583505,0.38016509382125274,3269904.875
