t,bytes_sent,utility,pheromone,f1_val,agg_count,rollback
0,0,0.0,1.0,0.17822308207434762,0,0
1,1790,0.5658569317107085,0.9131713863421418,0.13984006561410703,0,0
2,1790,0.0,0.7305371090737135,0.13984006561410703,0,0
3,1790,0.0,0.5844296872589708,0.13984006561410703,0,0
4,3584,0.7525338809768061,0.618050526002538,0.3936147342284453,0,0
5,5380,0.19289326312354277,0.5330190734267389,0.4051806344461505,0,0
6,5380,0.0,0.4264152587413912,0.4059544683010684,0,0
7,7179,1.0,0.541132206993113,0.6868444032883061,0,0
8,7179,0.0,0.43290576559449045,0.6782150171750794,0,0
9,7179,0.0,0.3463246124755924,0.5276080144754843,0,0
10,8981,0.8512263398554386,0.44730495795156167,0.7007562037352997,0,0
11,8981,0.0,0.3578439663612494,0.6995835245689681,0,0
12,10773,0.02920474482960314,0.29211612205492016,0.7008317350254774,0,0
13,10773,0.0,0.23369289764393614,0.6020795983214718,0,0
14,12573,0.39186078599190666,0.26532647531353026,0.7005769689796157,0,0
15,14377,0.7802116541352376,0.36830351107787174,0.9522165639571257,0,0
16,16177,0.08953398913591537,0.31254960668948045,0.9726102525776552,0,0
17,16177,0.0,0.2500396853515844,0.9422269032483463,0,0
18,17983,0.07087065999045676,0.21420588027935888,0.9608604911886242,0,0
19,17983,0.0,0.17136470422348712,0.7774977653700177,0,0
20,19780,0.8295411206596723,0.3029999875107242,0.9947523743726271,0,0
21,19780,0.0,0.24239999000857937,0.9611152572344858,0,0
22,19780,0.0,0.1939199920068635,0.7983350996385592,0,0
23,21582,0.5883557580534581,0.27280714521618243,0.933219774554506,0,0
24,21582,0.0,0.21824571617294597,0.6915363298598123,0,0
25,23380,1.0,0.3745965729383568,0.9388396087070392,0,0
26,23380,0.0,0.2996772583506854,0.8256077189439606,0,0
27,25179,0.6584673730080286,0.3714352812821541,0.9833168046634339,0,0
28,25179,0.0,0.2971482250257233,0.8922272663513136,0,0
29,26976,0.005885149153381354,0.23889560985125494,0.8952955439117338,0,0
30,26976,0.20660787082288729,0.23243806204558143,0.9519279065516568,0,0
31,26976,0.0,0.18595044963646515,0.6771619975827338,0,0
32,28775,1.0,0.34876035970917213,0.9320687790985476,0,0
33,28775,0.3009244581911954,0.3391931794055768,0.9968332416810847,0,0
34,28775,0.0,0.2713545435244615,0.8567916574266023,0,0
35,28775,0.0,0.2170836348195692,0.7106193605945246,0,0
