t,bytes_sent,utility,pheromone,f1_val,agg_count,rollback
0,1040,0.0,0.0,0.054460325283390836,0,0
1,2080,0.0,0.0,0.10359570269677702,0,0
2,3120,0.0,0.0,0.10879576329725996,0,0
3,4160,0.0,0.0,0.42264301917280384,0,0
4,5200,0.0,0.0,0.14041368337311058,0,0
5,6240,0.0,0.0,0.14041368337311058,0,0
6,7280,0.0,0.0,0.14041368337311058,0,0
7,8320,0.0,0.0,0.14041368337311058,0,0
8,9360,0.0,0.0,0.14041368337311058,0,0
9,10400,0.0,0.0,0.4222126204677117,0,0
10,11440,0.0,0.0,0.39655223592620625,0,0
11,12480,0.0,0.0,0.39658602128368947,0,0
12,13520,0.0,0.0,0.3920617135150967,0,0
13,14560,0.0,0.0,0.39992541946910537,0,0
14,15600,0.0,0.0,0.39992541946910537,0,0
15,16640,0.0,0.0,0.39992541946910537,0,0
16,17680,0.0,0.0,0.39481616053535656,0,0
17,18720,0.0,0.0,0.44348073704049706,0,0
18,19760,0.0,0.0,0.5434077395495585,0,0
19,20800,0.0,0.0,0.5834468760062699,0,0
20,21840,0.0,0.0,0.7017589383281313,0,0
21,22880,0.0,0.0,0.7019353166316534,0,0
22,23920,0.0,0.0,0.7019353166316534,0,0
23,24960,0.0,0.0,0.7016934795869249,0,0
24,26000,0.0,0.0,0.6243920245790122,0,0
25,27040,0.0,0.0,0.7016282822309048,0,0
26,28080,0.0,0.0,0.7016934795869249,0,0
27,29120,0.0,0.0,0.7019353166316534,0,0
28,30160,0.0,0.0,0.7016282822309048,0,0
29,31200,0.0,0.0,0.6949378363856413,0,0
30,32240,0.0,0.0,0.8600798639731754,0,0
31,33280,0.0,0.0,0.8725952707309608,0,0
32,34320,0.0,0.0,0.8567906685832132,0,0
33,35360,0.0,0.0,0.9563683267173008,0,0
34,36400,0.0,0.0,0.958090897193183,0,0
35,37440,0.0,0.0,0.953537387906126,0,0
36,38480,0.0,0.0,0.9969406902828911,0,0
37,39520,0.0,0.0,0.9950844037124505,0,0
38,40560,0.0,0.0,0.9962861483287704,0,0
39,41600,0.0,0.0,0.9965268648289654,0,0
40,42640,0.0,0.0,0.9965268648289654,0,0
41,43680,0.0,0.0,0.9912589093185437,0,0
42,44720,0.0,0.0,0.9962850284706224,0,0
43,45760,0.0,0.0,0.9961135349310292,0,0
44,46800,0.0,0.0,0.9881723880069346,0,0
45,47840,0.0,0.0,0.9962850284706224,0,0
46,48880,0.0,0.0,0.9961135349310292,0,0
47,49920,0.0,0.0,0.9961135349310292,0,0
48,50960,0.0,0.0,0.9965268648289654,0,0
49,52000,0.0,0.0,0.9965268648289654,0,0
